ALGUM COISA TENTAR	Vamos tentar alguma coisa!
CERTO HORAS-INTERVALOS ISOLAMENTO NATUREZA HORAS TERNURA FICAR EU COMO COMO MEDALHAS VIVER ESCULPIR MULHER DIRECÇÃO ESSE TODO MEU TODAS AS MOMENTOS PROPÓSITOS VIDA MEU ESQUECER DESEJAR GOZAR NADA REGAÇO AZUL MEU PLENITUDE BONANÇA MULHER ASPIRAÇÃO CAIR INDELÉVEL ELE ISENTAR FALÊNCIA HORA FUNDO ESPIRITUAL DESÂNIMO NUNCA GOZAR VAGO LIBERTAR TODAS AS DOR MEU DORMIR MEU OUTRO HORAS MUROS CONSCIÊNCIA QUINTAIS LIBERTAR FLORIR MAS AROMA INTUITIVO TRISTE PRÓPRIO COR MULHER FLOR MUROS ATRAVESSAR LÁ MISTÉRIO LADO ROSAS MEU ONDE ONDE ONDE LADO SONOLÊNCIA DEIXAR ONDE FLORIR ESBATER VIVER NUNCA {NÃO}(headshake)	Certas horas-intervalos que tenho vivido, horas perante a natureza, esculpidas na ternura do isolamento, ficar-me-ão para sempre como medalhas. Nesses momentos esqueci todos os meus propósitos de vida, todas as minhas direcções desejadas. Gozei não ser nada com uma plenitude de bonança espiritual, caindo no regaço azul das minhas aspirações. Não gozei nunca, talvez, uma hora indelével, isenta de um fundo espiritual de falência e de desânimo. Em todas as minhas horas libertas uma dor dormia, floria vagamente, por detrás dos muros da minha consciência, em outros quintais, mas o aroma e a própria cor dessas flores tristes atravessavam intuitivamente os muros, e o lado de lá deles, onde floriam as rosas, nunca deixaram de ser, no mistério confuso do meu ser, um lado de cá — esbatido na minha sonolência de viver.
IR INTERIOR RIO MAR VIDA MEU FINDAR RODA MEU TODAS AS ÁRVORES SOLAR OUTONO SONHAR PAISAGEM MEU ESTE COROA-DE-ESPINHOS ALMA MOMENTOS VIDA MEU SONHOS MAIS IR SONHOS TRISTEZA EU LAGOS ELES FRESCURA NARCISO ÁGUA DEBRUÇAR ANTERIOR ANTERIOR VISÃO ANTERIOR VER GOZAR ABSTRACTAS MATERNO NOCTURNO RECANTOS MULHER EMOÇÃO IMAGINAÇÃO CUIDADO SEGREDAR VIVER ELE PREFERIR	Foi num mar interior que o rio da minha vida findou. À roda do meu solar sonhado todas as árvores estavam no outono. Esta paisagem circular é a coroa-de-espinhos da minha alma. Os momentos mais felizes da minha vida foram sonhos, e sonhos de tristeza, e eu via-me nos lagos deles como um Narciso cego que gozou a frescura próximo da água, sentindo-se debruçado nela, por uma visão anterior e nocturna, segredada às emoções abstractas, vivida nos recantos da imaginação com um cuidado materno em preferir-se.
EU FALHAR SABER COMO APREÇO VOLÚPIA FALÊNCIA DAR ENCLAUSURA EXAUSTO FEBRE GOZAR INDETERMINAR	Sei que falhei. Gozo a volúpia indeterminada da falência como quem dá um apreço exausto a uma febre que o enclausura.
II	II
AH CREPÚSCULO NOITE MULHER LUZ CIDADES GRANDE ACENDER CAIR	Ah o crepúsculo, o cair da noite, o acender das luzes nas grandes cidades
MÃO MISTÉRIO BULÍCIO ABAFAR	E a mão de mistério que abafa o bulício, 
CANSAÇO NÓS TUDO CORROMPER	E o cansaço de tudo em nós que nos corrompe 
SENSAÇÃO EXACTO E PRECISO ACTIVO VIDA	Para uma sensação exacta e precisa e activa da Vida! 
RUA CADA CANAL VENEZA TÉDIOS	Cada rua é um canal de uma Veneza de tédios 
FUNDO UNÂNIME RUAS	E que misterioso o fundo unânime das ruas, 
Ó RUAS CESÁRIO VERDE NOITE Ó MESTRE CAIR	Das ruas ao cair da noite, ó Cesário Verde, ó Mestre, 
Ó DO SENTIMENTO UM OCIDENTAL	Ó do Sentimento de um Ocidental!
OUTRO INQUIETAÇÃO COISA DESEJO	Que inquietação profunda, que desejo de outras coisas. 
NEM PAÍSES	Que nem são países, nem momentos, nem vidas. 
TALVEZ OUTRO MODOS ESTADO DESEJO ALMA	Que desejo talvez de outros modos de estados de alma 
INTERIOR INSTANTE LENTO LONGÍNQUO ELE HUMEDECER	Humedece interiormente o instante lento e longínquo!
HORROR MULHER LUZ ACENDER	Um horror sonâmbulo entre luzes que se acendem,
PAVOR TERNO LÍQUIDO ESQUINAS ENCOSTAR	Um pavor terno e líquido, encostado às esquinas
COMO MENDIGO MULHER SENSAÇÃO IMPOSSÍVEIS	Como um mendigo de sensações impossíveis
LHE AS PODER DAR NÃO_SABER {NÃO}(headshake)	Que não sabe quem lhas possa dar...
QUANDO EU MORRER	Quando eu morrer, 
QUANDO IGNOBILMENTE EU COMO TODA A GENTE IR	Quando me for, ignobilmente, como toda a gente, 
IDEIA AQUELE CAMINHO FRENTE ENCARAR PODER (NÃO)	Por aquele caminho cuja ideia se não pode encarar de frente, 
PORTA AQUELE ASSOMAR PODER ASSOMAR (NÃO)	Por aquela porta a que, se pudéssemos assomar, não assomaríamos 
CAPITÃO AQUELE PORTO NAVIO CONHECER (NÃO)	Para aquele porto que o capitão do Navio não conhece, 
ESTE HORA TÉDIOS TER	Seja por esta hora condigna dos tédios que tive, 
ESTE HORA MÍSTICO E ESPIRITUAL ANTIGO	Por esta hora mística e espiritual e antiquíssima, 
TALVEZ MAIS ESTE HORA TEMPO DO QUE HAVER ELE PARECER	Por esta hora em que talvez, há muito mais tempo do que parece, 
PLATÃO IDEIA VER DEUS VER SONHAR	Platão sonhando viu a ideia de Deus 
NITIDAMENTE PLAUSÍVEL CORPO EXISTÊNCIA ESCULPIR	Esculpir corpo e existência nitidamente plausível. 
DENTRO SEU COMO PENSAMENTO CAMPO EXTERIORIZAR	Dentro do seu pensamento exteriorizado como um campo.
ESTE HORA EU ENTERRAR LEVAR	Seja por esta hora que me leveis a enterrar, 
COMO HORA EU ESTE VIVER NÃO_SABER {NÃO}(headshake)	Por esta hora que eu não sei como viver, 
MULHER SENSAÇÃO QUE TER NÃO_SABER OU QUE FINGIR {NÃO}(headshake)	Em que não sei que sensações ter ou fingir que tenho, 
MISERICÓRDIA ESTE EXCESSIVO HORA TORTURAR	Por esta hora cuja misericórdia é torturada e excessiva, 
OUTRO SOMBRAS QUALQUER COISA COISAS VIR (NÃO)	Cujas sombras vêm de qualquer outra coisa que não as coisas, 
PASSAGEM CHÃO VESTES VIDA SENSÍVEL ROÇAR (NÃO)	Cuja passagem não roça vestes no chão da Vida Sensível 
NEM PERFUME CAMINHOS OLHAR DEIXAR	Nem deixa perfume nos caminhos do Olhar.
Ó COMPANHEIRO EU MÃOS JOELHO CRUZAR NÃO_TER NEM TER EU QUERER {NÃO}(headshake)	Cruza as mãos sobre o joelho, ó companheira que eu não tenho nem quero ter.
MÃOS JOELHO ELE CRUZAR EU SILÊNCIO OLHAR	Cruza as mãos sobre o joelho e olha-me em silêncio
QUE HORA EU ESTE TU EU OLHAR VER PODER (NÃO)	A esta hora em que eu não posso ver que tu me olhas,
EU SILÊNCIO OLHAR SEGREDO PRÓPRIO TI ELE PERGUNTAR	Olha-me em silêncio e em segredo e pergunta a ti própria
CONHECER EU TU EU	— Tu que me conheces — quem eu sou...
SURPRESA ELE DAR	Dá a surpresa de ser
ALTO LOURO ESCURO	É alta, de um louro escuro.
BEM SÓ PENSAR VER ELE FAZER	Faz bem só pensar em ver
MEIO SEU CORPO MADURO	Seu corpo meio maduro.
ALTOS SEIOS SEU PARECER	Seus seios altos parecem
SE DEITAR	(Se ela estivesse deitada)
MONTE PEQUENO 2 AMANHECER	Dois montinhos que amanhecem
MADRUGADA HAVER	Sem ter que haver madrugada.
MÃO BRAÇO BRANCO SEU	E a mão do seu braço branco
PALMO ELE ASSENTAR ESPALHAR	Assenta em palmo espalhado
SALIÊNCIA FLANCO	Sobre a saliência do flanco
RELEVO SEU TAPAR	Do seu relevo tapado.
COMO BARCO ELE APETECER	Apetece como um barco.
QUALQUER COISA GOMO ELE TER	Tem qualquer coisa de gomo.
DEUS MEU EU EMBARCAR QUANDO (NÃO)	Meu Deus, quando é que eu embarco?
Ó FOME EU COMO QUANDO (NÃO)	Ó fome, quando é que eu como?
{OU EU DORMIR JUNTAS ALMA MEU ELES PASSADO}(q)	Durmo ou não? Passam juntas em minha alma
COISA VIDA ALMA CONFUSÃO	Coisas da alma e da vida em confusão,
MISTURA ESTE CALMO ATRIBULAR	Nesta mistura atribulada e calma
EU DORMIR OU NÃO_SABER {NÃO}(headshake)	Em que não sei se durmo ou não.
2 SER 2 CONSCIÊNCIA	Sou dois seres e duas consciências 
COMO HOMEM 2 INDO BRAÇO DADO	Como dois homens indo braço-dado. 
SONOLENTO OMNISCIÊNCIAS REVOLVER	Sonolento revolvo omnisciências, 
TURBULENTO ESTAGNAR	Turbulentamente estagnado.
MAS LENTO VAGO EMERJO MEU 2	Mas, lento, vago, emerjo de meu dois.
DESPERTO ENFIM REALIDADE	Desperto. Enfim: sou um, na realidade.
EU ESPREGUIÇAR DEPOIS PORQUÊ EU TUDO BEM	Espreguiço-me. Estou bem... Porquê depois,
{ESTE SAUDADE QUÊ VAGA}(q)	De quê, esta vaga saudade?
QUANDO TRÁS TU OLHAR	Quando olhaste para trás,
QUANDO TRÁS TU OLHAR	Quando olhaste para trás,
EU SUPOR (NÃO)	Não supus que era por mim.
MAS SEMPRE TU OLHAR ISSO FAZER	Mas sempre olhaste, e isso faz
ASSIM MELHOR EU FOSSAR	Que fosse melhor assim.
COMISSÃO CADA COMO ACTOS FERIADOS MERCADOS EXEMPLIFICAR TER TER FAZER FEIRAS OU COMO FIXAÇÃO VER TUDO MULHER DE PRESENTE IMPORTÂNCIA PARA	Cada ano, exemplifica a Comissão, têm as instâncias oficiais que fazer um estudo especial para actos como a convocação do Parlamento (inglês), as datas de feriados, as de mercados e de feiras, ou a fixação da hora de “Verão” — tudo, como o leitor está vendo, de transcendente importância para o presente e o futuro da humanidade
FINAL ESTE PRINCIPAL PONTO ESTATÍSTICO DESVANTAGEM COMPARAÇÃO COMERCIAL POSSÍVEL VERDADEIRO ESTATÍSTICO PRÓPRIAS MULHER SUBDIVISÃO MESES ANO TRIMESTRES SEMESTRES (NÃO)	Finalmente — e é esta talvez a principal desvantagem do ponto de vista estatístico e comercial —, não é possível uma verdadeira comparação estatística entre as próprias subdivisões do ano — meses, trimestres, semestres.
ASSIM PRIMEIRO ANO TRIMESTRE MÊS E DIA 31 ELE COMPOR PODER	Assim, cada um dos primeiros trimestres do ano poderia compor-se de 91 dias, ou três meses de 30, 30 e 31 dias
POIS DIA TRIMESTRE SUPLEMENTAR MÊS BISSEXTO BISSEXTO BISSEXTO ANO BISSEXTO COMPOR ACRESCENTAR PODER	O dia suplementar (o 365.º) seria acrescentado no quarto trimestre, que poderia pois compor-se de três meses de 30, 31, e 31 dias (32 em anos bissextos)
ESTE NIVELAMENTO TRIMESTRES TRIMESTRAIS MULHER TRANSACÇÃO MULHER TRANSACÇÃO REAIS MULHER VANTAGEM PONTO BANCÁRIAS MULHER TRANSACÇÃO METEOROLÓGICAS CONTAS TER	Este nivelamento dos trimestres teria reais vantagens do ponto de vista das estatísticas trimestrais, das transacções da Bolsa, das contas bancárias e das médias meteorológicas
BASTANTE CADA CÁLCULOS ELES SIMPLIFICAR SEMANA DATA AVERIGUAR DIA ACRESCER CAIR	Acresce que se simplificariam bastante os cálculos para averiguar o dia da semana em que cai cada data
ASSIM SE 0 0 0 JANEIRO DOMINGO FEVEREIRO MULHER TERÇA FEIRA MARÇO MULHER QUINTA FEIRA ASSIM ASSIM IR	Assim, se o 1.º de Janeiro for domingo, o 1.º de Fevereiro será terça-feira, o 1.º de Março quinta-feira, e assim sucessivamente
FINAL ESSE SISTEMA O TRADIÇÃO MENOS ALTERAR	Finalmente, esse sistema é o que menos altera a tradição
RESULTADO O ESTE TORNAR DIA SUPLEMENTAR ANO COMO SEMANA DEZEMBRO JANEIRO OBTER	Este resultado obtém-se tornando o dia suplementar do ano (o 365.º) um dia em branco — isto é, pondo-o fora da semana, como, por exemplo, entre 31 de Dezembro e 1 de Janeiro
TRIMESTRES ESTE TODO IGUAIS PROCESSO SEMESTRES	Por este processo são iguais todos os trimestres e semestres
MESMO ÚTEIS MÊS CADA NÚMERO DIA CONTER	Cada mês contém o mesmo número de dias úteis
ALÉM COMPARAÇÃO CADA DATA ISSO PRIMEIRO PRIMEIRO PRIMEIRO PRIMEIRO PRIMEIRO PRIMEIRO PRIMEIRO AO PASSO QUE MÊS MÊS SISTEMA PASSADO CAIR (NÃO)	Além disso, as datas não caem no mesmo dia da semana em cada mês, ao passo que a comparação estatística de datas futuras com datas passadas, sendo menos complicada que no sistema dos treze meses, é mais complicada que no primeiro sistema.
ESTE CALENDÁRIO PERPÉTUO POIS DIA TODO SEMANA DATAS MESES CAIR MESMO	Este calendário seria perpétuo, pois os dias da semana cairiam nas mesmas datas em todos os meses
QUER DIZER SE 0 DOMINGO TODO JANEIRO 13 DOMINGO TAMBÉM PRIMEIRO MÊS ANO IR	Quer dizer, se o 1.º de Janeiro for domingo, domingo será também o primeiro dia de todos os treze meses do ano
TODO MESES IGUAIS MESMO ÚTEIS NÚMERO SEMANAS DIA ELES TER	Todos os meses são iguais, e têm o mesmo número de semanas, de dias úteis e de domingos
EXACTO OS SALÁRIOS PERÍODOS DESPESA CALCULAR CORRESPONDER	Os períodos para os quais se calculam os salários correspondem exactamente aos períodos de despesa
FINAL IGUAIS FACTO TODO MESES TER GRANDE ESTATÍSTICAS MENSAIS PONTO	Finalmente, o facto de que todos os meses são iguais tem grandes vantagens do ponto de vista das estatísticas mensais
GERAL FALAR INTRÍNSECO APENAS ÚLTIMO PRINCIPAL MAIOR SISTEMA CONSIDERAR VALOR 2 SISTEMA 13 UTILIDADE MÊS PONTO ESTATÍSTICA PARECER LOGO QUE COMÉRCIO MÊS ECONÓMICO TRIMESTRE UNIDADE VIDA TORNAR (NÃO)	geralmente falando, e considerando apenas o valor intrínseco dos dois últimos sistemas principais, o sistema dos treze meses parece de maior utilidade do ponto de vista da estatística e do comércio, logo que o mês, e não o trimestre, se torne a unidade na vida económica
SISTEMA CASO PREFERÍVEL MÊS 12	No caso contrário, seria preferível o sistema dos doze meses
MAIS INVESTIGAÇÃO SEU VÁRIOS GOVERNO APLICAÇÃO RESPEITO 12 12 MÊS HÁBITO INCLINAR 12 MENOS MOSTRAR DESARRANJAR ESTABELECER	Com respeito à possibilidade da sua aplicação prática, a investigação preliminar mostra que os vários governos se inclinam mais para o sistema dos doze meses, que desarranjaria menos os hábitos estabelecidos
MAIORIA ORGANISMOS OPINIÃO PARECER MESMA	A maioria dos organismos comerciais parece ser da mesma opinião
IRREGULARIDADE CERTO ESTE RESPOSTAS COMISSÃO SAPATARIA INDÚSTRIA TURISMO AFECTAR RECEBER DEPREENDER	Das respostas recebidas pela Comissão depreende-se que esta irregularidade afecta desfavoravelmente um certo número de indústrias, e notavelmente as do vestuário feminino e masculino, a de sapataria, e a indústria de turismo
TAMBÉM MULHER INSTITUIÇÃO ALGUM REGULARIDADE ANO ESCOLAR BASTANTE QUEIXAR AFECTAR	Também se queixam algumas instituições pedagógicas que afecta bastante a regularidade do ano escolar.
NENHUMA GRANDE IGREJA CURIOSO ENTIDADES NOTAR ELE RELATAR DATA PÁSCOA REPUGNAR	É curioso notar que, segundo o relata a Comissão, nenhuma das grandes entidades religiosas mostrou repugnar-lhe, do ponto de vista dogmático, a fixação da data da Páscoa
DOIS MAIORIA PREFERÊNCIA RESPOSTAS DOMINGO ABRIL RECEBER DAR	A maioria das respostas recebidas dão a preferência ao segundo domingo de Abril
EU PORQUE INDIGNAÇÃO PORQUE RESIGNAÇÃO EU PORQUE SILÊNCIO FORTES CALAR INDIGNAR NOBRES CALAR GRANDE RESIGNAR SER (NÃO)	Não me indigno porque a indignação é para os fortes; não me resigno, porque a resignação é para os nobres; não me calo, porque o silêncio é para os grandes
EU FORTE NOBRE NEM GRANDE NEM (NÃO)	E eu não sou forte, nem nobre, nem grande
EU SOFRER EU SONHAR	Sofro e sonho
ELÉCTRICO CONSTANTE EU CARRO MARCHA ATITUDE SABER INSTANTÂNEO IDEIA IDEIA CARRO ANÁLISE COISAS-REAIS DIVERSAS VELOCIDADE SEPARAR	Num carro eléctrico em marcha eu sei, por uma atitude constante e instantânea de análise, separar a ideia de carro da ideia de velocidade, separá-las de todo, até serem coisas-reais diversas
4	4
PROPRIAMENTE ESTUDO ESTE NOSSO	Este estudo é propriamente nosso
NENHUM LHE ELEMENTOS TRATADO BUSCAR (NÃO)	Não lhe fomos buscar os elementos a nenhum tratado
MESTRE ESCREVER NÓS NÃO_TER {NÃO}(headshake)	Não tivemos mestre para escrevê-lo
CONHECIMENTO ATENTO HISTÓRIA QUANTO ANÁLISE FACTOS PRECISO ELABORAÇÃO SEU NÓS FORNECER IR	O conhecimento atento da história, e a análise firme dos factos que ela fornece, foi quanto nos foi preciso para a sua elaboração
MESMO DONO SEU QUANDO NÓS DONO	O seu a seu dono, mesmo quando sejamos nós o dono...
AO MESMO TEMPO RELAÇÃO 2 FENÓMENO PARALELISMO CAUSA E EFEITO	A relação entre os dois fenómenos é ao mesmo tempo de paralelismo e de causa-e-efeito
COMO COMÉRCIO ENTREPENETRAÇÃO COMÉRCIO SEU MULHER RELAÇÃO NATUREZA SOCIEDADE SOCIEDADES MÁXIMO SEU SER CULTURA ARTÍSTICO ENTREPENETRAÇÃO MULHER RELAÇÃO SOCIEDADE CULTURA POVOS AUGE SEU CONSEGUIR	Como o comércio é, por sua natureza, uma entrepenetração económica das sociedades, é no comércio que as relações materiais entre sociedades atingem o seu máximo; e como a cultura é uma entrepenetração artística e filosófica das sociedades, é na cultura que as relações mentais entre povos conseguem o seu auge
AINDA COMÉRCIO ACRESCER CENTRÍFUGO DISTRIBUIÇÃO OU CENTRÍPETO MATERIAL PRODUÇÃO OU INDÚSTRIA CULTURA CENTRÍFUGO DISTRIBUIÇÃO	Acresce, ainda, que o comércio é uma distribuição, centrífuga ou centrípeta, da produção material, ou indústria; e a cultura é uma distribuição, centrífuga ou centrípeta, da produção mental, ou arte
RIGOROSO FENÓMENOS POIS PARALELOS	Os fenómenos são, pois, rigorosamente paralelos
ISTO É 0 FASE COMÉRCIO AQUELE NOSSO ISTO É ISTO É CIVILIZAÇÃO CIVILIZAÇÃO ISTO É CHAMADA IDAMÉDIA VER PERTENCER COMEÇAR AÍ DIA NOSSO ELE ESTENDER	Três são as fases que, a nosso ver, o comércio tem atravessado no decurso da civilização a que pertencemos — isto é, daquela civilização que começa na chamada Idade Média e de aí se estende aos nossos dias
SEMPRE QUE ESTE RESERVA MULHER CLASSIFICAÇÃO SOBRETUDO SOBRETUDO SOBRETUDO HISTÓRIA ENTENDER TER FAZER	Com esta reserva fundamental têm sempre que entender-se as classificações que se fazem na vida e, sobretudo, na história.
HISTÓRICO IMPORTANTE OUTRO MATÉRIA RESERVA MENOS ELE ACRESCER (NÃO)	Acresce, em matéria histórica, uma outra reserva, não menos importante
O PAÍSES SÉCULO DIFERENTE PAIS HAVER HAVER VIVER SIMULTANEAMENTE CAMADAS ÉPOCAS DIVERSAS VIVER	No mesmo século há países que estão vivendo em “séculos” diferentes; no mesmo pais há regiões e camadas sociais que estão vivendo simultaneamente em épocas diversas.
O PAÍSES FAZER CAMADAS ESSE VANGUARDA MOVIMENTO NÓS EMBORA EMBORA CIVILIZAÇÃO EMBORA PAÍSES PARECER CAMADAS ESSE OCASIÃO MINORIA	fazemo-lo pelos países e pelas camadas sociais que estão na vanguarda típica do movimento que nos parece ser o da civilização, muito embora esses países e essas camadas sejam na ocasião uma minoria
COMO MORTE VIDA ELE AVANÇAR	Avança-se para a morte como para a vida.
NÃO SÓ FATAIS CONSCIENTE ESTE ESTE RESERVAS LEITOR ENSAIO BREVE ELE TER ENTENDER MAS HISTÓRICO ESTUDO QUALQUER FALIR	Com estas reservas fatais terá o leitor consciente que entender, não só este breve ensaio, mas qualquer estudo histórico em que se fale da “evolução”, de “fases de progresso”, de “períodos de civilização”.
PRIMEIRO GUERREIRO CIVILIZAÇÃO ÉPOCA ESTÁDIO E COMÉRCIO TIPO IGREJA COLOCAR TER	Na época em que colocamos o primeiro estádio da evolução do comércio a civilização tinha inicialmente, e substancialmente, o tipo guerreiro e religioso
ASSIM EXERCÍCIO QUALQUER MISTER ARMAS FOSSAR NÃO OU INFERIOR SACERDÓCIO TODAS AS IMAGINAÇÃO DESPREZÍVEL CLASSES RESULTAR (NÃO)	Sendo assim, o exercício de qualquer mister que não fosse o das armas ou do sacerdócio resultava, para a imaginação de todas as classes, inferior e desprezível
MISTERES LUCRO ESSE FIM ÉPOCA ESPÉCIE SERVIDÃO VOLUNTÁRIO TER TER O FERRETE SORDIDEZ DISTINGUIR MARCAR	Os misteres que tinham por fim visível o lucro tinha-os essa época por uma espécie de servidão voluntária, e o distinguia com o ferrete com que se marca a sordidez
AINDA POIS AINDA PROPORÇÃO HAVER FENÓMENOS ESPÍRITO FORMAÇÃO SOBREVIVER SOBREVIVER ANIMAR AINDA MESMA CONSERVAÇÃO ESSE ÉPOCA PROPORÇÃO DESPREZO COMERCIANTE MANTER	Na proporção em que ainda sobrevive (pois há fenómenos sociais em que ainda sobrevive), o espírito que animou a formação e a conservação dessa época, nessa mesma proporção se mantém ainda o desprezo pelo comerciante
MODÉSTIA COMERCIANTE ATINGIR CERTO PREFERÊNCIA ANTIGO OPRÓBIO RETALHO LHE CONFERIR (NÃO)	Atinge de preferência, é certo, o pequeno comerciante de retalho, cuja modéstia social lhe não confere o antigo opróbio
MELHOR ÉPOCA CONCEITO DAR (NÃO)	A época não dava para melhor conceito
HOMEM RICO ESSE COMERCIANTE SOCIEDADE CONSIDERAÇÃO SOCIAL DESNOBILIZADAS CONSEGUIR (NÃO)	Era o homem rico, e não o comerciante, que nessas sociedades desnobilizadas conseguia a consideração social
NECESSARIAMENTE INSTINTO CIDADES ESTADO TORNADAS PLUTOCRACIAS CASOS RENASCENÇA MUITOS ESSENCIAL COMERCIANTE SUBSISTIR HONRAR QUANDO O PLUTOCRATA CERTO MODO SISTEMA MAS PORTANTO (NÃO)	Subsistia forte o velho instinto aristocrático: tornadas necessariamente, em muitos casos, pequenas plutocracias, as cidades-estado da Renascença honravam essencialmente o comerciante, quando o honravam, não como comerciante mas como plutocrata — como, portanto, em certo modo, aristocrata adentro desse sistema.
EXACTO MESMO EPISÓDICO ESTE ÉPOCA COMUNIDADES EMERGÊNCIA IGUAL ARTE ACOMPANHAR	acompanhada nesta época, e exactamente nas mesmas comunidades, pela emergência, igualmente episódica, do artista
FACTO CONHECIDO	O facto é conhecidíssimo
AINDA SERVIL POIS EMPÍRICO ERUDIÇÃO PARASITÁRIO NATUREZA SEU ENTÃO RENASCER ESPÍRITO SENÃO INCERTO PENETRAR (NÃO)	Era, ainda, servil e empírica, pois a simples erudição é, de sua natureza, parasitária; e o espírito científico, que então renascia, não penetrava, senão incerta e episodicamente, na cultura
MENTALIDADE NOSSO AINDA QUE COMERCIANTE TEMPO COMERCIANTE EXERCER RETALHO COMÉRCIO ESCALA	A mentalidade do comerciante desse tempo era a do nosso comerciante de retalho, ainda que exercesse o comércio em grande escala
HOJE COMO O ENTENDER COMÉRCIO GROSSO CONHECER (NÃO)	O comércio por grosso, como hoje o entendemos, não era conhecido
EMPÍRICO Á ELE COMÉRCIO AVENTURA HAVER	Á parte isto, havia um comércio empírico, de aventura
NENHUM ELEMENTO CONSCIENTE EXPANSÃO OU ESBOÇAR ORGANIZAÇÃO ESBOÇAR ENTRAR OU COMÉRCIO TEMPO ENTRAR ELE PODER	Nenhum elemento de expansão consciente, ou de organização esboçada, havia entrado, ou podia entrar, no comércio deste tempo
SUFICIENTE COMERCIAL INEXISTÊNCIA CONTABILIDADE PROPRIAMENTE CARÁCTER DIZER DEFINIR	A inexistência da contabilidade, propriamente dita, define suficientemente o carácter comercial do período
ECONOMICAMENTE DETERMINANTES SE SOCIAIS COMÉRCIO TEMPO OUTRO VIVER PARTE PELO MENOS SOCIAL (NÃO)	As determinantes sociais do tempo eram outras; o comércio vivia à parte, se não economicamente, pelo menos socialmente.
ORGANICAMENTE SUBORDINADO INICIATIVA IMPOSSÍVEIS ORGANIZAÇÃO	Ao subordinado são organicamente impossíveis a iniciativa e a organização
