Bom dia, Mike.	BOM DIA MIKE
Não fique preocupado, fique feliz!	FELIZ PREOCUPAR ELE FICAR FICAR (NÃO)
A boa vida é aquela inspirada por amor e guiada pelo conhecimento.	VIDA AQUELE MULHER INSPIRADO AMOR CONHECIMENTO GUIAR
Quando você não pode fazer o que quer, você faz o que pode.	QUANDO QUERER VOCÊ VOCÊ O O FAZER FAZER PODER PODER (NÃO)
Dê a ele uma mão e ele vai querer o braço inteiro.	DÊ MÃO DELE INTEIRO ELE BRAÇO QUERER
Você me fez perder a cabeça.	VOCÊ EU CABEÇA PERDER FAZER
Você me fez perder a calma.	VOCÊ EU CALMA PERDER FAZER
Sorria agora, chore depois!	AGORA ELE CHORAR DEPOIS SORRIR
Eu não consigo cortar minhas unhas e passar roupa ao mesmo tempo!	EU MEU UNHAS CORTAR CONSEGUIR NÃO AO MESMO TEMPO ELE ROUPAR PASSADO (NÃO)
Ele não quer que você fale para ele sobre a sua vida sexual.	SEU VOCÊ DELE FALIR VIDA SEXUAL DELE (NÃO)
Você já comeu torta de banana?	{JÁ VOCÊ TORTA BANANA COMER}(q)
Por que você se casaria com uma mulher se você gosta de homens?	{VOCÊ SE VOCÊ MULHER GOSTAR HOMEM CASAR}(q)
Se você não pode ter filhos, você sempre terá a opção de adotar.	SEMPRE VOCÊ VOCÊ OPÇÃO TER TER ADOTAR PODER (NÃO)
É uma pena que você não possa comprar milagres da mesma forma que compra batatas.	VOCÊ QUE PENA MILAGRES BATATAS MESMO FORMA COMPRAR PODER (NÃO)
O cérebro é somente uma máquina complicada.	SOMENTE MÁQUINA CÉREBRO COMPLICAR
Esse bebê pinguim é muito fofo!	ESSE BEBER FOFO
Estou no hospital. Fui atingido por um raio.	HOSPITAL RAIO ATINGIR
Vamos encarar, é impossível. Nunca vamos fazer isso.	IMPOSSÍVEL ENCARAR ISSO FAZER NUNCA NÃO
Qual é a sua maior fonte de inspiração?	FONTE INSPIRAÇÃO MAIOR SEU QUAL (NÃO)
Eu estava relendo as cartas que você me mandou.	EU VOCÊ CARTAS EU RELER MANDAR
Nossa opinião é uma ideia que possuímos; nossa convicção, uma ideia que nos possui.	OPINIÃO IDEIA NOSSO CONVICÇÃO IDEIA NOSSO NÓS POSSUIR POSSUIR
Eu fui ao zoológico ontem.	ONTEM EU ZOOLÓGICO IR
Nós vencemos a batalha.	NÓS BATALHA VENCER
Um dia eu vou comprar uma máquina de fazer algodão doce.	EU DIA MÁQUINA ALGODÃO DOCE COMPRAR FAZER
Eu comecei a aprender chinês semana passada.	EU SEMANA APRENDER APRENDER PASSADO
Ter um laptop é prático.	LAPTOP TER PRÁTICO
Seus óculos caíram no chão.	SEU ÓCULOS CHÃO CAIR
Quantas vezes ao dia você se olha no espelho?	VOCÊ MULHER VEZ DIA ESPELHO OLHAR QUANTAS (NÃO)
Ela não quer falar sobre isso.	ISSO FALAR (NÃO)
Preciso de mais tempo.	PRECISO TEMPO MAIS
Não quer dizer nada!	QUER DIZER NADA (NÃO)
Seja paciente, por favor. Leva algum tempo.	PACIENTE FAVOR ALGUM TEMPO ELE LEVAR
Se não há solução, então não há problema.	SE SOLUÇÃO PROBLEMA HAVER AINDA_NÃO HAVER {NÃO}(headshake)
Meu irmão pequeno está vendo televisão.	PEQUENO IRMÃO TELEVISÃO MEU VER
Você o conheceu na universidade?	{VOCÊ UNIVERSIDADE O CONHECER}(q)
Aaahh! Meu computador está quebrado!	AAAHH COMPUTADOR MEU QUEBRAR
As faculdades e universidades dos EUA são autônomas.	FACULDADES UNIVERSIDADES EUA AUTÔNOMAS
Sim, acontece de tempos em tempos.	SIM TEMPOS TEMPOS ELE ACONTECER
Isso, ocorre de vez em quando.	QUANDO ISSO VEZ OCORRER
Não, obrigado. Estou cheio.	NÃO CHEIO
Uma xícara de chá, por favor.	XÍCARA CHÁ FAVOR
Estou de dieta.	DIETA
Me dê leite também.	TAMBÉM EU LEITE DAR
Eu acabei de terminar de ler O Morro dos Ventos Uivantes.	EU O MORRO DOS VENTOS UIVANTES TERMINAR LER ACABAR
Ele desapareceu sem deixar pistas.	ELE DEIXAR PISTAS DESAPARECER
Me desculpe, mas eu não posso ir.	EU DESCULPAR MAS EU IR PODER (NÃO)
Eu não queria te machucar.	EU TU MACHUCAR (NÃO)
Me desculpe por estar atrasado para a reunião.	EU DESCULPAR REUNIÃO ATRASAR
A criatividade é um importante aspecto do desenvolvimento humano.	CRIATIVIDADE IMPORTANTE DESENVOLVIMENTO HUMANO ASPECTO
A aula só começa às oito e meia.	SÓ AULA 8 MEIO COMEÇAR
A imaginação afeta todos os aspectos das nossas vidas.	IMAGINAÇÃO TODO AFETA ASPECTOS VIDA NOSSO
Mas o Universo é infinito.	MAS UNIVERSO INFINITO
Você me achou onde ninguém mais estava procurando.	ONDE VOCÊ NINGUÉM MAIS PROCURAR EU ACHAR
Essas coisas não são minhas!	ESSE COISA MEU (NÃO)
Acho que eu vou dormir.	EU DORMIR ACHAR
Quando você envia um telegrama, a brevidade é essencial, pois você será cobrado por cada palavra.	QUANDO POIS VOCÊ VOCÊ CADA ENVIAR TELEGRAMA BREVIDADE ESSENCIAL PALAVRA
Quantos sanduíches restam?	SANDUÍCHES RESTAR QUANTOS (NÃO)
Quantos sanduíches ainda tem?	AINDA SANDUÍCHES TER QUANTOS (NÃO)
Eu não estou mais inspirado.	EU MAIS INSPIRAR (NÃO)
Nós podíamos ver o pôr do sol pela janela.	NÓS PÔR JANELA VER PODER
Lá fora está totalmente escuro.	LÁ FORA TOTAL ESCURO
Está um breu total lá fora.	LÁ TOTAL FORA BREU
O que aconteceu? Há água por todo o apartamento.	{O ACONTECER TODO ÁGUA APARTAMENTO HAVER}(q)
Nunca tente morrer.	MORRER ELE TENTAR NUNCA NÃO
Você fará coisas que os seus pais disseram e fizeram, mesmo que você tenha jurado que nunca faria.	PAIS VOCÊ COISA SEU FAZER DIZER QUE VOCÊ MESMO QUE FAZER FAZER JURAR NUNCA NÃO
A vida começa quando nós descobrimos quem realmente somos.	VIDA COMEÇAR QUANDO REAL NÓS DESCOBRIR
A vida começa quando você decide o que é que você espera dela.	VIDA COMEÇAR QUANDO VOCÊ VOCÊ O DECIDIR ESPERAR
A vida começa quando você está pronto para vivê-la.	VIDA COMEÇAR QUANDO PRONTO VIVER
Eu nunca disse que eu era frágil.	EU EU DIZER FRÁGIL NUNCA NÃO
Eu me pergunto se eu fui feito para esse mundo.	SE EU EU ESSE EU FAZER MUNDO PERGUNTAR
Eu sabia que hoje seria divertido.	HOJE EU DIVERTIR SABER
Eu tenho tantas roupas que eu nem sei o que vou vestir amanhã.	EU TANTO ROUPAS EU TER NEM AMANHÃ O SABER
Eu não consigo acreditar nisso!	EU ISSO ACREDITAR CONSEGUIR (NÃO)
Eu aprendi muito com você.	EU VOCÊ APRENDER
Nós andamos muito.	NÓS ANDAR
Nós caminhamos um bocado.	NÓS BOCADO CAMINHAR
Elas estão fazendo muito barulho; eu não consigo me concentrar.	EU ELAS BARULHO EU CONCENTRAR FAZER (NÃO)
Você está doente e precisa repousar.	VOCÊ DOENTE REPOUSAR ELE PRECISAR
Há um caminho secreto à esquerda.	SECRETO CAMINHO ESQUERDA HAVER
Ela está pedindo o impossível.	IMPOSSÍVEL PEDIR
Eu consigo colocar as palmas das minhas mãos no chão sem dobrar os joelhos.	EU MÃOS PALMAS CHÃO MEU DOBRAR JOELHOS COLOCAR CONSEGUIR
A melhor forma de tornar seus sonhos realidade é acordar.	MELHOR SONHOS FORMA SEU ACORDAR REALIDADE TORNAR
Você tem alguma ideia de como a minha vida é?	{VOCÊ ALGUM IDEIA VIDA MEU TER}(q)
Você faz ideia de como é a minha vida?	{VOCÊ IDEIA VIDA MEU FAZER}(q)
Você vai simplesmente ficar aí parado o dia todo?	{SIMPLESMENTE VOCÊ TODO AÍ DIA PARAR FICAR}(q)
Um coelho tem orelhas longas e rabo pequeno.	LONGAS PEQUENO COELHO ORELHAS RABO TER
Seu segredo estará a salvo comigo.	SALVO SEGREDO SEU COMIGO
Diga-lhes para me ligarem antes de saírem.	ANTES EU LIGAR SAIR DIZER
Eu não tenho forças para continuar tentando.	EU FORÇAS TENTAR TENTAR CONTINUAR NÃO_TER {NÃO}(headshake)
Você não devia ter aceitado uma proposta tão desonesta.	TÃO VOCÊ ACEITAR PROPOSTA DESONESTO ACEITAR DEVER (NÃO)
Matemática não é só a memorização de fórmulas.	SÓ MATEMÁTICA MEMORIZAÇÃO FÓRMULAS (NÃO)
Isso! Ganhei duas vezes seguidas!	ISSO 2 MULHER VEZ SEGUIDA EU GANHAR
A essência da matemática é a liberdade.	ESSÊNCIA MATEMÁTICA
Você consegue imaginar como as nossas vidas seriam sem a eletricidade?	{VOCÊ VIDA ELETRICIDADE NOSSO IMAGINAR CONSEGUIR}(q)
Se você empresta $20 e nunca mais vê essa pessoa, provavelmente valeu a pena.	SE VOCÊ $20 EMPRESTAR PROVAVELMENTE MAIS ESSE PESSOA PENA ELE VALER VER NUNCA NÃO
Cada pessoa é um mundo.	PESSOA CADA MUNDO
É uma grande frustração tentar achar seus óculos quando você não pode ver nada sem eles.	FRUSTRAÇÃO SEU TENTAR ÓCULOS ACHAR QUANDO VOCÊ NADA ELES VER PODER (NÃO)
Eu não sei o que é pior.	PIOR O EU NÃO_SABER {NÃO}(headshake)
A vida na prisão é pior do que a vida de um animal.	PIOR VIDA DO QUE PRISÃO VIDA ANIMAL
O quê? Você ainda não sabe dirigir?	O QUÊ VOCÊ DIRIGIR SABER AINDA_(NÃO)
A vida não é longa, é larga!	VIDA LONGO TU LARGAR (NÃO)
A vida é curta, mas não é pouca.	VIDA CURTO MAS POUCA
Se eu não fizer agora, nunca farei.	AGORA EU AGORA FAZER (NÃO)
Se você não tem esse programa, você pode baixá-lo agora.	AGORA VOCÊ ESSE VOCÊ PROGRAMA BAIXAR PODER NÃO_TER {NÃO}(headshake)
Gonzales dá uma bicicleta a todos seus funcionários na Europa.	GONZALES TODO BICICLETA FUNCIONÁRIOS EUROPA SEU DAR
Você ainda está se perguntando qual é o sentido da vida?	AINDA VOCÊ SENTIDO PERGUNTAR VIDA QUAL (NÃO)
O sentido da vida é tudo menos se perguntar qual é o sentido dela.	TUDO MENOS SENTIDO SENTIDO VIDA QUAL PERGUNTAR
Despedidas são sempre tristes.	SEMPRE DESPEDIDAS TRISTE
Também há boates onde se dança flamenco.	TAMBÉM ONDE BOATAR FLAMENCO HAVER DANÇAR
Eu sugiro que a gente saia na sexta.	EU GENTE SAIA SEXTA SUGERIR
Você tem experiência profissional?	{PROFISSIONAL VOCÊ EXPERIÊNCIA TER}(q)
Quem fez essa pintura?	ESSE PINTURA FAZER QUEM (NÃO)
Nessa hora há um tráfego incrível.	INCRÍVEL ESSE HORA TRÁFEGO HAVER
Você não tem vergonha de falar desse jeito?	VOCÊ VERGONHA JEITO FALAR NÃO_TER (NÃO)
Ele é argentino e dá aula de tênis.	ELE ARGENTINO AULA TÊNIS ELE DAR
Você poderia, por favor, repetir isso?	{VOCÊ ISSO REPETIR PODER}(q)
De uma forma geral, quem visita mais seus pais, filhos ou filhas?	{FORMA FILHOS SEU OU PAIS MULHER FILHO MAIS VISITAR QUEM}(q)
Claro que seria mais barato para você dormir na nossa casa.	CLARO MAIS VOCÊ BARATO NOSSO DORMIR CASA
Toda tentativa merece uma recompensa.	TODO TENTATIVA RECOMPENSA MERECER
Custa um braço e uma perna.	BRAÇO PERNA ELE CUSTAR
Mais de 90 por cento das visitas a uma página web são de motores de busca.	POR CENTO MAIS 90 VISITA PÁGINA MOTOR BUSCA
Eu preciso do seu conselho.	EU PRECISO CONSELHO SEU
Estou me preparando para o pior.	PIOR EU PREPARAR
Isso parece ser interessante. O que você disse a ela?	{ISSO INTERESSANTE PARECER O VOCÊ DIZER}(q)
Pouco a pouco, você vai notar melhoras nos seus textos.	POUCO A POUCO VOCÊ MELHORAS TEXTO SEU NOTAR
Eu sabia que era plástico, mas tinha gosto de madeira.	EU SABER PLÁSTICO MAS GOSTO MADEIRA EU TER
Às vezes Spenser se preocupa tanto com Trang que ele leva ela a pensar que ele está sendo superprotetor.	ÀS VEZES TANTO ELE QUE ELE SPENSER TRANG ELE SUPERPROTETOR PREOCUPAR PENSAR LEVAR
Há coisas nesse mundo que simplesmente não podem ser expressadas em forma de palavras.	ESSE COISA FORMA PALAVRAS HAVER EXPRESSAR PODER AINDA_{NÃO}(headshake)
Cuide-se bem.	BEM ELE CUIDAR
As funções seno e cosseno retornam valores entre -1 e 1 (-1 e 1 incluídos).	MULHER FUNÇÃO SENO COSSENO VALOR 1 RETORNAR 1 1 INCLUIR
Posso ficar na sua casa? Não tenho para onde ir.	{CASA SEU FICAR EU PODER ONDE IR}(q)
Se pelo menos nós parássemos de tentar sermos felizes, nós poderíamos ter um momento feliz.	PELO MENOS SE NÓS FELIZES NÓS PARAR PODER FELIZ MOMENTO TENTAR TER
A morte é um horizonte; e um horizonte não é nada mais que o limite da nossa visão.	MORTE HORIZONTE HORIZONTE LIMITE NOSSO NADA VISÃO MAIS (NÃO)
A única forma na Terra de multiplicar a felicidade é dividi-la.	FORMA TERRA FELICIDADE DIVIDIR MULTIPLICAR
Tudo é teoricamente impossível até que seja feito.	TEORICAMENTE IMPOSSÍVEL FAZER
Até que você esteja em paz com o que você é, você nunca estará satisfeito com o que tem.	ATÉ VOCÊ PAZ VOCÊ VOCÊ O O ESTAR SATISFAZER TER NUNCA NÃO
Somente aqueles que se arriscam a ir longe demais vão saber quão longe se pode chegar.	SOMENTE LONGE DEMAIS QUÃO LONGE AQUELES PODER IR ARRISCAR CHEGAR SABER
Nós podemos viajar no tempo. E fazemos isso à incrível velocidade de um segundo por segundo.	NÓS TEMPO VIAJAR PODER INCRÍVEL VELOCIDADE DOIS ISSO SEGUNDO NÓS FAZER
O problema real não é se máquinas pensam, mas se homens pensam.	REAL MÁQUINAS PROBLEMA PENSAR MAS HOMEM PENSAR (NÃO)
Meu interesse é no futuro porque é lá que eu vou passar o resto da minha vida.	LÁ PORQUE FUTURO EU MEU INTERESSE RESTO VIDA MEU PASSADO
O mundo é um livro e aqueles que não viajam leem apenas uma página.	MUNDO LIVRO LEEM AQUELES PÁGINA APENAS VIAJAR (NÃO)
A melhor forma de prever o futuro é inventá-lo.	MELHOR FORMA FUTURO INVENTAR PREVER
Se nós soubéssemos o que é que estávamos fazendo, não seria chamado de pesquisa, seria?	{SE NÓS SABER O PESQUISA FAZER NOME}(q)
Essa é a verdade sobre as pessoas que acham que odeiam computadores. O que eles realmente odeiam são programadores negligentes.	QUE ESSA VERDADE PESSOA ODIAR COMPUTADORES ACHAR REAL O ELES PROGRAMADORES NEGLIGENTES ODIAR
Eu acho que é uma boa coisa livros ainda existirem, mas eles me dão sono.	AINDA EU COISA ACHAR EXISTIR MAS ELES EU SONO DAR
Eu não consigo entender porque as pessoas têm medo de ideias novas. Eu tenho medo é das antigas.	PORQUE PESSOA EU MEDO IDEIAS NOVAS TER ENTENDER CONSEGUIR NÃO EU MEDO TER ANTIGAS (NÃO)
É um bom acordo.	BOM ACORDO
Abaixe suas mãos!	MÃOS SEU ELE ABAIXAR
Quanto antes, melhor.	ANTES MELHOR QUANTO
Eu realmente não estava esperando isso de você.	EU ISSO VOCÊ ESPERAR AINDA_{NÃO}(headshake)
Faz horas que espero.	HORAS FAZER ESPERAR
Estou esperando há horas.	HAVER HORAS ESPERAR
Eu estava quase saindo quando o telefone tocou.	QUASE EU SAIR QUANDO TELEFONE TOCAR
Preste atenção. Eu vou te mostrar como se faz.	ATENÇÃO ELE PRESTAR EU TU MOSTRAR COMO SE FAZER
Eu não estou nem um pouco convencido.	EU NEM UM POUCO CONVENCER
Você não pode conseguir o impossível sem tentar o absurdo.	VOCÊ IMPOSSÍVEL TENTAR ABSURDO CONSEGUIR PODER (NÃO)
Você só deve contar consigo mesmo. E mesmo assim, nem tanto.	MESMO VOCÊ SÓ CONSIGO CONTAR DEVER MESMO ASSIM TANTO NEM
Ficar quieto na sala de aula é respeitar o sono dos outros.	OUTROS FICAR QUIETO SALA RESPEITAR SONO
A lógica é um método sistemático de chegar à conclusão errada com confidência.	MÉTODO LÓGICA CONCLUSÃO CONFIDÊNCIA CHEGAR ERRAR
Axioma de Cole: a soma da inteligência no planeta é constante; a população está crescendo.	AXIOMA COLE SOMA CONSTANTE POPULAÇÃO CRESCER INTELIGÊNCIA PLANETA
As pessoas vão aceitar muito melhor sua ideia se você as disser que Benjamin Franklin já falou ela antes.	JÁ MELHOR PESSOA SEU SE VOCÊ BENJAMIN FRANKLIN IDEIA AS DIZER FALAR ANTES ACEITAR
Eu não fiz por querer.	EU QUERER FAZER (NÃO)
Há altos e baixos na vida.	VIDA ALTOS BAIXOS HAVER
Todos os gatos são cinza no escuro.	TODO GATOS CINZA ESCURO
Me ensine como é que você faz.	COMO VOCÊ EU ENSINAR
Nenhuma notícia é uma boa notícia.	NOTÍCIA NENHUM BOM NOTÍCIA
Eu estava esperando isso!	EU ISSO ESPERAR
Eu não espero nada de você.	EU NADA VOCÊ ESPERAR (NÃO)
O mundo é dividido em pessoas que fazem as coisas e em pessoas que recebem o crédito.	MUNDO COISA PESSOA DIVIDIR FAZER PESSOA CRÉDITO RECEBER
Espere na sala de espera.	SALA ESPERA ELE ESPERAR
Eu não sabia que ele bebia tanto.	ELE EU BEBER TANTO NÃO_SABER {NÃO}(headshake)
Está benfeito.	BENFEITO
Ele é uma boa pessoa.	ELE PESSOA BOM
As paredes têm ouvidos.	PAREDES OUVIR
Eu vou tomar um banho.	EU BANHO TOMAR
Se você comer muito, você engorda.	SE VOCÊ VOCÊ COMER ENGORDAR
Eu não sei se ele teria feito isso por mim.	SE ELE EU FAZER ISSO EU NÃO_SABER {NÃO}(headshake)
Você gostaria de vir?	{VOCÊ VIR GOSTAR}(q)
Eu sabia que ele aceitaria.	EU ELE SABER
Eu pensei que era verdade.	EU PENSAR VERDADE
Essa é a cidade da qual eu falei a você.	ESSA CIDADE EU VOCÊ FALAR
Esse é o garoto sobre o qual eu fico pensando.	ESSE GAROTO O EU PENSAR FICAR
Ele foi avisado em várias ocasiões.	ELE VÁRIOS MULHER OCASIÃO AVISAR
Eu tenho que devolver o livro antes de sábado.	ANTES EU LIVRO SÁBADO DEVOLVER
Nós tentamos tanto melhorar as coisas para nossos filhos que nós as deixamos piores.	TANTO NÓS NÓS COISA NOSSO AS PIORES FILHOS MELHORAR TENTAR DEIXAR
Oi, eu só queria te avisar que o problema foi resolvido.	SÓ TU OI EU PROBLEMA RESOLVER AVISAR QUERER
Como você pode ter um laptop e não ter um celular?	COMO VOCÊ LAPTOP TER PODER CELULAR NÃO_TER (NÃO)
Eu fui tomar um cerveja com uns amigos.	EU UM CERVEJA AMIGO TOMAR
Nós nos divertimos ontem.	ONTEM NÓS NÓS DIVERTIR
Eu comi caviar.	EU CAVIAR COMER
Essa faca foi muito útil para mim.	FACA ESSE ÚTIL EU TER MUITO
Eu consegui entrar.	EU ENTRAR CONSEGUIR
Aqui está seu troco.	AQUI TROCO SEU
Me desculpe, não tenho troco.	EU DESCULPAR TROCO NÃO_TER {NÃO}(headshake)
A situação está pior do que eu pensava.	PIOR SITUAÇÃO DO QUE EU PENSAR
Eles nem sabem por quê.	ELES NEM QUÊ ELES SABER
Você chegou na hora que eu saí.	VOCÊ EU HORA CHEGAR SAIR
Eu falei com uns amigos.	EU UM AMIGO FALAR
Eu quero saber quem vem conosco.	EU QUEM VIR CONOSCO SABER QUERER
O filme começou às 2 horas.	FILME 2 HORA COMEÇAR
Essa garota mudou seu visual.	MULHER GAROTO SEU ESSE VISUAL MUDAR
Você mudou muito.	VOCÊ MUDAR
Diga-me o que aconteceu.	O EU DIZER ACONTECER
Elas são meninas sensatas.	ELAS SENSATAS MULHER MENINO
Como você é bonita!	COMO VOCÊ BONITA
É mais fácil divertir-se do que trabalhar.	FÁCIL MAIS DIVERTIR DO QUE TRABALHAR
Você tem que trabalhar mais.	VOCÊ MAIS TRABALHAR
É mais difícil do que você pensa.	DIFÍCIL MAIS VOCÊ DO QUE PENSAR
Ele me disse que iria para Veneza.	ELE EU IR VENEZA DIZER
Nós conseguimos!	NÓS CONSEGUIR
Eu não concordo com ele.	EU DELE CONCORDAR (NÃO)
Há várias coisas que devem ser feitas. Você quer ajuda?	{VÁRIOS COISA FAZER HAVER FAZER DEVER VOCÊ AJUDA QUERER}(q)
Para mim, parece que o trem está atrasado.	TREM EU PARECER ATRASAR
Ele descobriu a notícia enquanto estava lendo o jornal.	ELE NOTÍCIA DESCOBRIR ENQUANTO JORNAL LER
Quem disse isso? Está completamente errado!	ISSO DIZER QUEM COMPLETAMENTE ERRAR (NÃO)
Quando eu era criança eu passava horas lendo sozinha no meu quarto.	QUANDO EU CRIANÇA EU MEU PASSADO SÓ HORAS LER QUARTO
Lobos normalmente não atacam pessoas.	LOBOS PESSOA ATACAR AINDA_{NÃO}(headshake)
"Alguém pode me ajudar?" "Eu posso."	ALGUÉM EU AJUDAR PODER EU PODER
Ah! Se eu fosse rico, eu compraria para mim uma casa na Espanha.	AH SE EU EU RICO COMPRAR EU CASA ESPANHA FOSSAR
Eu queria que ela parasse de tocar essa música idiota.	EU ESSE PARAR IDIOTA MÚSICA TOCAR QUERER
Eu espero que ele consiga vir! Eu gostaria de vê-lo.	EU ELE CONSEGUIR VIR ESPERAR EU VER VER GOSTAR
O jardim dela é uma obra de arte.	JARDIM OBRA ARTE
A água congela a zero grau Celsius, não é?	{CELSIUS ÁGUA GRAU ZERO CONGELAR}(q)
Se você resolver as coisas pequenas, as coisas grandes vão se resolver sozinhas.	PEQUENO GRANDE SE VOCÊ COISAS SOZINHAS COISA RESOLVER
Nós vamos comer muito hoje à noite. Então eu espero que você não esteja de dieta.	HOJE NÓS NOITE COMER ENTÃO VOCÊ EU ESPERAR DIETA (NÃO)
Por que você quer ir embora hoje?	{HOJE VOCÊ EMBORA IR QUERER}(q)
Pegue suas coisas e vá embora.	COISA SEU ELE PEGAR EMBORA EU IR
Elas estão te esperando na frente da porta.	ELAS FRENTE PORTA ESPERAR
Para o homem que só tem um martelo na sua caixa de ferramentas, todo problema parece um prego.	SÓ TODO HOMEM SEU CAIXA MARTELO FERRAMENTAS PROBLEMA PREGO TER PARECER
Por um acaso você sabe onde eu pus minhas chaves?	VOCÊ EU MEU PÔR CHAVES SABER ONDE (NÃO)
Eu sou contra usar a morte como punição. Também sou contra usá-la como recompensa.	EU MORTE PUNIÇÃO COMO USAR TAMBÉM COMO USAR ELE RECOMPENSAR
Precisamos de uma ambulância.	AMBULÂNCIA NÓS PRECISAR
Eu alimento meu gato toda manhã e toda noite.	EU MEU TODO TODO MANHÃ GATO NOITE ALIMENTAR
Estou grávida de quatro meses.	GRÁVIDA 4 MÊS
Nós homens somos acostumados a esperar pelas mulheres.	NÓS MULHER MULHER ESPERAR ACOSTUMAR
Quanto você dá de gorjeta na Espanha?	VOCÊ ESPANHA GORJETA DAR QUANTO (NÃO)
O tempo passou bem rápido.	BEM TEMPO RÁPIDO PASSADO
Qual é a sua bagagem?	BAGAGEM SEU QUAL (NÃO)
Há 1000 filmes que se deve assistir antes de morrer.	ANTES 1000 FILME MORRER HAVER ASSISTIR DEVER
Há muitas coisas que você não conhece sobre a minha personalidade.	VOCÊ MEU COISA MUITAS PERSONALIDADE HAVER CONHECER (NÃO)
Qual é a vantagem dessa tecnologia?	VANTAGEM TECNOLOGIA QUAL (NÃO)
Ele passou o anoitecer lendo um livro.	ELE ANOITECER LER LIVRO PASSADO
Você tem pensado nesse problema a manhã inteira. Dê uma parada; vá almoçar.	INTEIRO VOCÊ ESSE PROBLEMA MANHÃ PENSAR PARADA DÊ ALMOÇAR
Frutas e vegetais são essenciais para uma dieta balanceada.	FRUTAS VEGETAIS ESSENCIAIS DIETA BALANCEAR
Os elevadores em arranha céus são sistemas vitais.	ELEVADORES ARRANHAR VITAIS SISTEMA
Os elefantes são os maiores animais terrestres vivos atualmente.	ATUAL ELEFANTES MAIORES TERRESTRES VIVOS ANIMAL
Se você me ensinar como dançar, eu te mostrarei minhas cicatrizes escondidas.	COMO SE VOCÊ EU MEU EU TU MULHER CICATRIZ DANÇAR MOSTRAR ENSINAR ESCONDER
Ela está à beira de um colapso nervoso.	NERVOSO COLAPSO
Eu não necessariamente acredito em traduções.	NECESSARIAMENTE EU MULHER TRADUÇÃO ACREDITAR (NÃO)
Quando eu era da sua idade, Plutão era um planeta.	QUANDO PLUTÃO EU IDADE PLANETA SEU
A beleza está nos olhos de quem a vê.	BELEZA OLHO A VER
Eu tenho nacionalidade francesa, mas origem vietnamita.	FRANCÊS VIETNAMITA EU MAS NACIONALIDADE ORIGEM TER
A história dele era ridícula demais para alguém acreditar nela.	DEMAIS HISTÓRIA RIDÍCULO ALGUÉM DELE ACREDITAR
Senhor, você não tem permissão de estacionar seu carro aqui.	AQUI SENHOR PERMISSÃO SEU VOCÊ CARRO ESTACIONAR NÃO_TER {NÃO}(headshake)
Eu não quero mais ouvir suas reclamações.	EU SEU MULHER RECLAMAÇÃO MAIS OUVIR (NÃO)
Ele quer apagar as lembranças ruins.	ELE RUINS LEMBRANÇAS APAGAR QUERER
Meu coração estava cheio de felicidade.	CORAÇÃO CHEIO FELICIDADE MEU
Fizemos panquecas para o café da manhã.	PANQUECAS CAFÉ MANHÃ NÓS FAZER
O que você almoçou hoje?	{HOJE O VOCÊ ALMOÇAR}(q)
Eu não quero reprovar nas minhas provas.	EU MEU MEU REPROVAR (NÃO)
