Diana através dos ramos	ATRAVÉS DIANA RAMOS
E, como derivante desta segunda consequência, temos, é claro, o prejuízo do Estado, pois não é de supor que ele cobre impostos aos contrabandistas.	SER QUE IMPOR COBRIR PREJUÍZO POIS ESTE CLARO DERIVANTE CONSEQUÊNCIA SUPOR ELE CONTRABANDISTAS (NÃO)
3) Quais, foram, porém, as consequências da Lei Seca quanto aos fins que directamente visava	QUANTO 3 QUAIS PORÉM CONSEQUÊNCIA VISAR FIM IR
Já vimos que quem tem dinheiro, seja ou não alcoólico, continua a beber o que quiser	JÁ DINHEIRO TER VIR OU ALCOÓLICO BEBER ELE CONTINUAR QUERER (NÃO)
É igualmente evidente que quem tem pouco dinheiro, e é alcoólico, bebe da mesma maneira e gasta mais — isto é, prejudica-se fisicamente do mesmo modo, e financeiramente mais	IGUAL EVIDENTE DINHEIRO POUCO TER ALCOÓLICO ELE BEBER MESMA MANEIRA ISTO É MAIS MESMO FISICAMENTE MODO ELE PREJUDICAR GASTAR
Há ainda os casos, tragicamente numerosos, dos alcoólicos que, não podendo por qualquer razão obter bebidas alcoólicas normais, passaram a ingerir espantosos sucedâneos — loções de cabelo, por exemplo —, com resultados pouco moralizadores para a própria saúde	AINDA TRAGICAMENTE PRÓPRIO BEBER POR EXEMPLO QUALQUER ESPANTOSOS POUCO POUCO HAVER POUCO PARA SAÚDE RESULTADOS POUCO POUCO OBTER INGERIR PASSADO PODER (NÃO)
Surgiram também no mercado americano várias drogas não alcoólicas, mas ainda mais prejudiciais que o álcool; essas livremente vendidas, pois, se é certo que arruinam a saúde, arruinam contudo adentro da lei, e sem álcool	TAMBÉM AMERICANO ALCOÓLICAS VÁRIOS MERCADO DROGAS ELES SURGIR MAS AINDA MAIS LIVRE POIS PREJUDICIAIS ESSE CERTO ARRUINAM SAÚDE ARRUINAM VENDER CONTUDO LEI ÁLCOOL EU ADENTRAR (NÃO)
E o facto é que, segundo informação recente de fonte boa e autorizada, se bebe mais nos Estados Unidos depois da Lei Seca do que anteriormente se bebia.	RECENTE FACTO BOM INFORMAÇÃO AUTORIZAR ESTADOS UNIDOS MAIS BEBER DEPOIS ANTERIOR DO QUE ELE BEBER
Conceda-se, porém, aos que votaram e defendem este magno diploma que numa secção do público ele produziu resultados benéficos — aqueles resultados que eles apontam no acréscimo de depósitos nos bancos populares e caixas económicas	ELE CONCEDER PORÉM VOTAR PORÉM QUE ESTE MAGNO SECÇÃO ELE RESULTADOS QUE DEPÓSITOS DEFENDER PRODUZIR BENÉFICOS ACRÉSCIMO BANCOS POPULARES DIPLOMAR CAIXAS ECONÓMICAS
Essa secção do público, composta de indivíduos trabalhadores, poupados e pouco alcoólicos, não podendo com efeito, beber qualquer coisa alcoólica sem correr vários riscos e pagar muito dinheiro, passou, visto não ser dada freneticamente ao álcool, a abster-se dele, poupando assim dinheiro	TRABALHADORES SECÇÃO ESSE PÚBLICO INDIVÍDUOS COMPOR POUPAR ALCOÓLICOS POUCO QUALQUER VÁRIOS EFEITO COISA CORRER RISCOS BEBER PODER NÃO FRENETICAMENTE PAGAR DINHEIRO VER DAR ÁLCOOL DINHEIRO DINHEIRO ASSIM DINHEIRO VER DAR ELE PASSADO (NÃO)
Isto, sim, conseguiram os legisladores americanos — “moralizar” quem não precisava ser moralizado	SIM ELE LEGISLADORES ELES CONSEGUIR PRECISAR QUEM (NÃO)
Temos, pois, como última consequência da Lei Seca, um efeito escusado e inútil sobre uma parte da população, um efeito nulo sobre outra, e um efeito daninho e prejudicial sobre uma terceira.	POIS EFEITO EFEITO CONSEQUÊNCIA LEI SECA INÚTIL DANINHO DANINHO DANINHO DANINHO DANINHO EFEITO NULO TER ESCUSAR
A legislação pautal, que visa a proteger indústrias nacionais, enferma ordinariamente de um mal parecido com o de que sofre a legislação operária, a que acabámos de referir-nos	A LEGISLAÇÃO INDÚSTRIAS LEGISLAÇÃO MAL PROTEGER VISAR ENFERMAR PARECER REFERIR SOFRER
Raras vezes se estuda devidamente o equilíbrio a estabelecer entre os interesses dessas indústrias e os interesses do consumidor	DEVIDO EQUILÍBRIO MULHER VEZ INTERESSES INDÚSTRIAS INTERESSES CONSUMIDOR ESTUDAR ESTABELECER
Por isso o proteccionismo é frequentemente excessivo, e daí resulta, em uns casos, o afastamento do consumidor e um consequente prejuízo para a própria indústria que se pretendeu beneficiar; em outros casos, em que o consumo é “forçado” e a venda portanto certa, o assumir a indústria protegida um carácter parasitário, que a desvitaliza e assim a desprepara para as contingências económicas do futuro	FREQUENTE PROTECCIONISMO ISSO EXCESSIVO AÍ AFASTAMENTO UM CASOS CONSUMIDOR RESULTAR PREJUÍZO PRÓPRIO OUTROS CONSUMO INDÚSTRIA CASOS BENEFICIAR PRETENDER VENDA PORTANTO CERTO INDÚSTRIA CARÁCTER A ASSUMIR PROTEGER DESVITALIZAR ASSIM ECONÓMICAS A CONTINGÊNCIAS FUTURO DESPREPARA
A legislação proteccionista, quando sabiamente orientada, consegue realmente proteger e animar a indústria nacional; mas o ser sabiamente orientada quer dizer que nela se estudaram bem os interesses diversos do consumidor e do comerciante importador	LEGISLAÇÃO PROTECCIONISTA QUANDO SABIAMENTE REAL PROTEGER ELE CONSEGUIR NACIONAL INDÚSTRIA ANIMAR MAS SABIAMENTE INTERESSES DIVERSOS ELES ESTUDAR BEM CONSUMIDOR ORIENTAR
E, se estes interesses se estudaram, e se equilibraram com os do industrial, não se trata já de uma lei restritiva, mas de uma simples medida económica sem carácter especial	INTERESSES ESTE ESTUDAR INDUSTRIAL MAS MEDIDA LEI RESTRITIVO ESPECIAL SIMPLES CARÁCTER ESPECIAL ECONÓMICO (NÃO)
As leis proteccionistas só podem dizer-se restritivas quando das pautas resulta um proibicionismo evidente	SÓ LEIS RESTRITIVAS DIZER PODER QUANDO EVIDENTE PAUTAS PROIBICIONISMO RESULTAR
São as leis desta ordem que caem dentro do nosso estudo, e é a elas que se aplicam as considerações acima feitas.	DENTRO LEIS ESTE ORDEM NOSSO ESTUDO CAIR ACIMA ELAS MULHER CONSIDERAÇÃO APLICAR FAZER
Examinados, assim, todos os géneros de legislação restritiva, chegámos à conclusão que todos eles têm de comum: 1) prejudicar o comerciante; 2) produzir perturbações económicas; 3) nunca beneficiar, e as mais das vezes prejudicar, as próprias classes em cujo proveito essas leis foram feitas	ASSIM TODO TODO ELES 3 CONCLUSÃO EXAMINAR GÉNERO COMERCIANTE MULHER PERTURBAÇÃO PREJUDICAR PRODUZIR BENEFICIAR CHEGAR NUNCA NÃO NUNCA NÃO NUNCA NÃO NUNCA NÃO NUNCA NÃO PRÓPRIAS MAIS ESSE LEIS MULHER VEZ CLASSES PROVEITO PREJUDICAR FAZER
A legislação restritiva, em todos os seus ramos, resulta, portanto, inútil e nociva.	RESTRITIVO PORTANTO LEGISLAÇÃO TODO NOCIVO RAMOS INÚTIL SEU RESULTAR
Nenhuma lei é benéfica se ataca qualquer classe social ou restringe a sua liberdade	LEI BENÉFICO QUALQUER NENHUM ATACAR SOCIAL CLASSE OU SEU ELE RESTRINGIR
As classes sociais não vivem separadas, em compartimentos estanques	CLASSES COMPARTIMENTOS SEPARAR ESTANQUES VIVER (NÃO)
Vivem em perpétua interdependência, em constante entrepenetração	CONSTANTE PERPÉTUO INTERDEPENDÊNCIA ENTREPENETRAÇÃO ELES VIVER
O que lesa uma, lesa todas	O TODO LESAR
A lei que ataca uma, é a todas que ataca	LEI TODAS ATACAR ATACAR
Todo este artigo é uma demonstração desse facto.	ARTIGO TODO ESTE DEMONSTRAÇÃO FACTO
Não é, pois, só o comerciante, mas o público em geral, que tem o dever para consigo mesmo de reagir enérgica e constantemente contra a promulgação das leis restritivas, invariavelmente maléficas, como se demonstrou, por benéficas que pareçam ou as instituem.	SÓ POIS COMERCIANTE MAS MESMO PÚBLICO GERAL DEVER CONSEGUIR REAGIR ENÉRGICO TER INVARIAVELMENTE CONSTANTE MALÉFICAS PROMULGAÇÃO COMO SE BENÉFICAS LEIS DEMONSTRAR PARECER OU AS INSTITUIR (NÃO)
Quinto	QUINTO
O ENCOBERTO	ENCOBERTO
Que símbolo fecundo	SÍMBOLO FECUNDO
Vem na aurora ansiosa?	{ANSIOSO AURORA ELE VIR}(q)
Na Cruz Morta do Mundo	CRUZ MORTA DO MUNDO
A Vida, que é a Rosa.	VIDA ROSA
Que símbolo divino	SÍMBOLO DIVINO
Traz o dia já visto?	{JÁ DIA ELE TRAZER VER}(q)
Na Cruz, que é o Destino,	CRUZ DESTINO
A Rosa, que é o Cristo.	ROSA CRISTO
Que símbolo final	SÍMBOLO FINAL
Mostra o sol já desperto?	{JÁ DESPERTO ELE MOSTRAR}(q)
Na Cruz morta e fatal	FATAL CRUZ MORTO
A Rosa do Encoberto.	ROSA DO ENCOBERTO
Muita gente fala de comércio como se ele fosse só um	SÓ GENTE MUITA COMO SE ELE FALAR COMÉRCIO FOSSAR
Na realidade não há comércio: há comércios	REALIDADE COMÉRCIO HAVER COMÉRCIOS HAVER (NÃO)
No exercício de um empregam-se qualidades diferentes do que no exercício de outro	EXERCÍCIO ELES EMPREGAR DO QUE QUALIDADES DIFERENTE EXERCÍCIO OUTRO
Há, é certo, princípios e preceitos comuns a todos os géneros de comércio	CERTO TODO HAVER PRECEITOS COMUNS PRINCÍPIOS GÉNEROS COMÉRCIO
Esses, porém, são abstractos e gerais, e aplicam-se também a outras colectividades, não comerciais, que implicam o serviço do público.	ESSE PORÉM ABSTRACTOS PORÉM MULHER GERAL TAMBÉM COMERCIAIS IMPLICAR COLECTIVIDADES SERVIÇO PÚBLICO APLICAR (NÃO)
Nos países de grande desenvolvimento comercial, e onde, portanto, cada espécie de comércio se especializou definidamente, há diferenças até de mentalidade entre os comerciantes de uma espécie e os comerciantes de outra espécie	COMERCIAL PAÍSES GRANDE DESENVOLVIMENTO PAÍSES GRANDE DESENVOLVIMENTO COMERCIAL ONDE PORTANTO COMERCIANTES CADA ESPÉCIE COMÉRCIO DEFINIDO HAVER DIFERENÇAS MENTALIDADE ESPÉCIE ESPECIALIZAR PORTANTO ESPÉCIE COMERCIANTES OUTRO
O comércio comissionário implica o uso de faculdades diversas daquelas que entram em campo no comércio de conta própria	COMÉRCIO USO FACULDADES AQUELAS PRÓPRIO CAMPO COMÉRCIO CONTA PRÓPRIO IMPLICAR ENTRAR
A mentalidade do grande exportador (empregando “grande” no sentido de competência, e não propriamente de vulto das transacções) difere da mentalidade do grande importador	GRANDE MENTALIDADE EXPORTADOR GRANDE SENTIDO COMPETÊNCIA EMPREGAR PROPRIAMENTE MULHER TRANSACÇÃO VULTO DIFERIR MENTALIDADE GRANDE IMPORTADOR (NÃO)
A técnica do comércio interno aparta-se por vezes extraordinariamente da do comércio externo.	EXTRAORDINARIAMENTE INTERNO EXTERNO TÉCNICA MULHER VEZ COMÉRCIO COMÉRCIO APARTAR
Este princípio deve ter-se presente, não só para fins de organização mas também para fins de se tratar competentemente com os chefes de casas comerciais de países que atingiram uma especialização mercantil definida.	NÃO SÓ PRINCÍPIO ESTE PRESENTE FINS ORGANIZAÇÃO DEVER MAS TAMBÉM COMPETENTE FINS CASA CHEFES PAÍSES ESPECIALIZAÇÃO TRATAR ATINGIR DEFINIR
Primeiro	PRIMEIRO
O BANDARRA	BANDARRA
Sonhava, anónimo e disperso,	DISPERSO ANÓNIMO ELE SONHAR
O Império por Deus mesmo visto,	MESMO IMPÉRIO POR DEUS VER
Confuso como o Universo	CONFUSO COMO UNIVERSO
E plebeu como Jesus Cristo.	PLEBEU COMO JESUS DT(C-R-I-S-T-O)
Não foi nem santo nem herói,	NEM SANTO NEM HERÓI ELE IR (NÃO)
Mas Deus sagrou com Seu sinal	MAS SEU DEUS SINAL SAGRAR
Este, cujo coração foi	ESTE CORAÇÃO IR
Não português mas Portugal.	PORTUGUÊS MAS PORTUGAL (NÃO)
Na confecção da correspondência comercial há dois critérios fundamentais e opostos, entre os quais é difícil escolher o que deva preferir-se.	COMERCIAL FUNDAMENTAL CORRESPONDÊNCIA CONFECÇÃO 2 CRITÉRIO HAVER OS OPOR DIFÍCIL ESCOLHER PREFERIR DEVER
O primeiro critério é o de “marcar personalidade” na correspondência e no seu estilo — isto é, buscar imprimir um cunho distintivo e pessoal a todas as cartas, de modo que em qualquer delas se reconheça, por assim dizer, a mesma voz que nas outras.	PRIMEIRO CRITÉRIO PERSONALIDADE MARCAR CORRESPONDÊNCIA ISTO É SEU ESTILO DISTINTIVO BUSCAR CUNHO IMPRIMIR ASSIM TODAS AS QUALQUER ELAS OUTRO PESSOAL VOZ MESMA CARTAS QUE
O segundo critério é o de adaptar o estilo e feição da carta ao estilo e feição das cartas do correspondente.	CRITÉRIO O ESTILO FEIÇÃO ESTILO CARTAS CORRESPONDENTE ADAPTAR
A nosso ver, nenhum dos critérios é universalmente preferível	UNIVERSAL NENHUM NOSSO VER PREFERÍVEL CRITÉRIOS
Há casos em que um estaria errado, casos em que estaria errado o oposto.	1 OPOSTO CASO CASO HAVER ERRAR ERRAR
O importante é chamar-se a atenção do comerciante para a existência dos dois critérios	IMPORTANTE NOME COMERCIANTE ATENÇÃO EXISTÊNCIA 2 CRITÉRIO
Saber que eles existem, e em que consistem, é o principal.	ELES EXISTIR SABER ELES CONSISTIR PRINCIPAL
ANTÓNIO VIEIRA	DT(A-N-T-Ó-N-I-O) DT(V-I-E-I-R-A)
Este, que teve a fama e a glória tem,	ESTE FAMA TER GLÓRIA TER
Imperador da língua portuguesa,	IMPERADOR PORTUGUÊS LÍNGUA
Foi-nos um céu também.	TAMBÉM CÉU ELE IR
No imenso espaço seu de meditar,	IMENSO ESPAÇO SEU MEDITAR
Constelado de forma e de visão,	FORMA VISÃO CONSTELAR
Surge, prenúncio claro do luar,	CLARO PRENÚNCIO LUAR ELE SURGIR
El-Rei D	EL REI D
Mas não, não é luar: é luz do etéreo.	MAS LUAR LUZ ETÉREO (NÃO)
É um dia; e, no céu amplo de desejo,	DIA CÉU AMPLO DESEJO
A madrugada irreal do Quinto Império	MADRUGADA IRREAL QUINTO IMPÉRIO
Doira as margens do Tejo.	MULHER MARGEM TEJO DOIRAR
O nosso tempo, em que tantas actividades complexas se desenvolvem, criou profissões novas, algumas estranhíssimas	TEMPO NOSSO TANTO ACTIVIDADES ALGUM NOVAS ESTRANHÍSSIMAS MULHER PROFISSÃO PROFISSÃO CRIAR DESENVOLVER
Mas entre elas ainda não apareceu uma que é muito precisa — a de professor de leitura para as pessoas que já sabem ler.	MAS MAS AINDA ELE PRECISAR JÁ LER ELAS APARECER QUE PROFESSOR LEITURA PESSOA SABER (NÃO)
Esta observação não é um disparate	OBSERVAÇÃO ESTE DISPARATE (NÃO)
Um grande número de pessoas — a maioria, talvez, se víssemos bem — são absolutamente desatentas: nem vêem o que vêem, nem lêem o que estão lendo.	TALVEZ GRANDE MAIORIA NÓS VER ABSOLUTO DESATENTAS NEM ELES VER QUE VER NEM QUE ELES LER
É extraordinário o número de negócios que se demoram, se complicam inutilmente, ou, até, se enredam com gravidade, por o comerciante se não dar ao trabalho de ler o que lhe escrevem	INUTILMENTE OU TRABALHO ESCREVER QUE DEMORAR NÚMERO EXTRAORDINÁRIO QUE LHE (NÃO)
Depois responde concordando com o que não se lhe propôs, ou perguntando o que já está dito	DEPOIS LHE CONCORDAR RESPONDER PROPOR OU JÁ PERGUNTAR O DIZER (NÃO)
Todo o homem de negócios deve ler as cartas que recebe palavra a palavra e atentamente.	ATENTO TODO HOMEM NEGÓCIOS CARTAS PALAVRA PALAVRA LER DEVER RECEBER
A correspondência comercial deve ser lida em sossego e sem interrupção, nem no meio de uma carta, nem mesmo entre carta e carta, para que não se perca a continuidade da atenção	CORRESPONDÊNCIA SOSSEGO LER DEVER INTERRUPÇÃO NEM CARTA NEM MESMO CARTA CARTA CONTINUIDADE ATENÇÃO (NÃO)
Lida cada carta, deve fazer-se um rápido, e instintivo, esboço mental do sentido do seu conteúdo	LIDAR RÁPIDO SEU INSTINTIVO CARTA MENTAL CONTEÚDO ESBOÇO FAZER DEVER
O comerciante tem pressa	COMERCIANTE PRESSA TER
Lê depois, quando tiver vagar	DEPOIS ELE LER DEPOIS VAGAR EU TER
Nunca tem vagar	VAGAR NUNCA NÃO
Se não tem vagar para trabalhar, o que é que lhe tira o vagar?	{SE TRABALHAR O LHE VAGAR VAGAR TIRAR}(q)
Terceiro	TERCEIRO
Escrevo meu livro à beira-mágoa.	LIVRO MULHER BEIRA MÁGOA MEU EU ESCREVER
Meu coração não tem que ter.	CORAÇÃO MEU TER (NÃO)
Tenho meus olhos quentes de água.	QUENTES OLHO ÁGUA MEU EU TER
Só tu, Senhor, me dás viver.	SÓ DAR TU SENHOR EU VIVER
Só te sentir e te pensar	SÓ TU SENTIR TU PENSAR
Meus dias vácuos enche e doura.	VÁCUOS DIA MEU ELE ENCHER ELE DOURAR
Mas quando quererás voltar?	MAS VOLTAR TU QUERER QUANDO (NÃO)
Quando é o Rei	QUANDO REI
Quando é a Hora?	HORA QUANDO (NÃO)
Quando virás a ser o Cristo	QUANDO TU VIR CRISTO
De a quem morreu o falso Deus,	FALSO DEUS QUEM MORRER
E a despertar do mal que existo	MAL DESPERTAR EXISTIR
A Nova Terra e os Novos Céus?	{NOVOS CÉUS NOVA TERRA}(q)
Quando virás, ó Encoberto,	QUANDO Ó ENCOBERTO VIR
Sonho das eras português,	SONHO PORTUGUÊS ERAS
Tornar-me mais que o sopro incerto	EU INCERTO SOPRO TORNAR
De um grande anseio que Deus fez?	{ANSEIO DEUS FAZER}(q)
Ah, quando quererás, voltando,	AH QUANDO TU QUERER VOLTAR
Fazer minha esperança amor?	{AMOR ESPERANÇA MEU FAZER}(q)
Da névoa e da saudade quando?	SAUDADE NÉVOA QUANDO (NÃO)
Quando, meu Sonho e meu Senhor?	MEU SENHOR MEU SONHO QUANDO (NÃO)
São estes dois conceitos — o de número e o de espaço — os dois fundamentos em que a experiência essencial assenta sua determinação e seu conhecimento do mundo (a que chamamos) externo	CONCEITO ESTE FUNDAMENTO ASSENTAR SEU 2 QUE ESSENCIAL MUNDO SEU CONHECIMENTO QUE EXTERNO NOME
Aparecem-nos como não só ambos essenciais, senão também co-essenciais a essa experiência obbjectiva	TAMBÉM COMO CO-ESSENCIAIS OBBJECTIVA NÓS AMBOS ESSENCIAIS ESSE NÃO SÓ SENÃO EXPERIÊNCIA APARECER
Se consideramos o número, de per si e como conceito logicamente anterior ao, e por isso concebido independentemente do espaço, não temos, ao concebê-lo, um conceito de mundo externo, senão apenas o conceito abstracto de número; ideia não já (...) senão metafísica, conceito análogo ao que Pitágoras formava do mesmo número, e Platão de todas as ideias a que em lógica chamamos gerais.	NÚMERO SI CONSIDERAR LOGICAMENTE COMO ANTERIOR CONCEITO INDEPENDENTE SENÃO APENAS JÁ SENÃO CONCEITO DT(P-I-T-Á-G-O-R-A-S) ESPAÇO ISSO CONCEITO MUNDO NÚMERO NÚMERO CONCEBER CONCEBER FORMAR NÃO_TER PLATÃO TODAS AS IDEIAS LÓGICA MULHER GERAL NOME {NÃO}(headshake)
Discorremos, em tudo isto, física que não metafisicamente	METAFISICAMENTE FÍSICO TUDO ISTO DISCORRER (NÃO)
Metafisicamente todos os conceitos são possíveis, ainda que envolvam contradição; pois que a metafísica improvável e inverificável determinadamente, se ocupa, não de tal existência, senão da existência em si, do ser considerado só como ser — e como da existência em si, nada sabemos de certo, ignoramos portanto poder admitir, que inclua, ou mesmo seja essencialmente, contradição ou negação de si, ou mesmo coisa nenhuma.	METAFISICAMENTE TODO CONCEITOS POSSÍVEIS AINDA QUE ENVOLVER POIS QUE CONTRADIÇÃO METAFÍSICA IMPROVÁVEL SENÃO COMO INVERIFICÁVEL TAL EXISTÊNCIA DETERMINADO EXISTÊNCIA SI SÓ OCUPAR CONSIDERAR COMO NADA CERTO SI IGNORAR SABER PORTANTO ELE INCLUIR ADMITIR PODER OU MESMO ESSENCIAL CONTRADIÇÃO (NÃO)
Tens um livro que não lês,	LIVRO LÊS TER (NÃO)
Tens um livro que não lês,	LIVRO LÊS TER (NÃO)
Tens uma flor que desfolhas;	FLOR DESFOLHAS TER
Tens um coração aos pés	CORAÇÃO PÉS TER
E para ele não olhas.	DELE TU OLHAR (NÃO)
As misérias de um homem que sente o tédio da vida do terraço da sua vila rica são uma coisa; são outra coisa as misérias de quem, como eu, tem que contemplar a paisagem do meu quarto num 4º andar da Baixa, e sem poder esquecer que é ajudante de guarda-livros.	COMO QUE MISÉRIA COISA SEU OUTRO COISA MISÉRIA EU HOMEM PAISAGEM VILA QUARTO BAIXA MEU SENTIR CONTEMPLAR QUE PODER AJUDANTE GUARDA-LIVROS ESQUECER
Tout notaire a rêvé des sultanes...	TOUT RÊVÉ DES SULTANES
Tenho um prazer íntimo, da ironia do ridículo imerecido, quando, sem que alguém estranhe, declaro, nos actos oficiais, em que é preciso dizer a profissão: empregado no comércio	QUANDO IRONIA IMERECIDO ALGUÉM ACTOS OFICIAR PRECISO DIZER PRAZER QUE TER ÍNTIMO QUE RIDÍCULO TRABALHO PROFISSÃO COMÉRCIO OFICIAR EMPREGAR
Não sei como inserto o meu nome vem assim no Anuário Comercial.	ASSIM NOME INSERTO MEU ELE VIR ANUÁRIO COMERCIAL NÃO_SABER {NÃO}(headshake)
Epígrafe ao Diário	EPÍGRAFE DIÁRIO
